rank,score,year,tags,query,title,venue,doi,url,type,abstract
310,5,2025,,robot foundation model,HyperSIGMA: Hyperspectral Intelligence Comprehension Foundation Model,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/tpami.2025.3557581,https://doi.org/10.1109/tpami.2025.3557581,journal-article,
311,5,2025,,robot foundation model,Imitation Learning for Robot Motions Based on Multimodal Foundation Model and Style Transformation,IEEE Access,10.1109/access.2025.3629632,https://doi.org/10.1109/access.2025.3629632,journal-article,
312,5,2025,,robot policy foundation model,ImitDiff: Transferring Foundation-Model Priors for Distraction-Robust Visuomotor Policy,IEEE Robotics and Automation Letters,10.1109/lra.2025.3619835,https://doi.org/10.1109/lra.2025.3619835,journal-article,
313,5,2025,,robot manipulation scaling,Improving Generalization of Language-Conditioned Robot Manipulation,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros60139.2025.11246168,https://doi.org/10.1109/iros60139.2025.11246168,proceedings-article,
314,5,2025,,robot planning learning,Improving the Learning Efficiency of Robot Path Planning via Fuzzified Deep Reinforcement Learning,2025 IEEE International Conference on Fuzzy Systems (FUZZ),10.1109/fuzz62266.2025.11197609,https://doi.org/10.1109/fuzz62266.2025.11197609,proceedings-article,
315,5,2025,,vision language action robotics,Improving Vision-Language-Action Model with Online Reinforcement Learning,2025 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra55743.2025.11127299,https://doi.org/10.1109/icra55743.2025.11127299,proceedings-article,
316,5,2025,,embodiment generalization robotics,"Industrial Collaborative Robotics, Humanoid Cobots, and Social Embodiment: A Critical Look on Human–Robot Interaction",International Journal of Humanoid Robotics,10.1142/s0219843624300010,https://doi.org/10.1142/s0219843624300010,journal-article,"<jats:p> Collaborative robotics combines human and robot capabilities in shared workspaces, integrating robotics, human-computer interaction, ergonomics, and psychology. In industrial settings, human–robot collaboration typically involves physical interaction with collaborative robots (cobots), designed to assist in tasks such as manufacturing and logistics. However, we discuss that cognitive and social-affective layers of interaction are equally crucial for enhancing collaboration. By adopting "
317,5,2025,,robot foundation model,Industrial Foundation Model,IEEE Transactions on Cybernetics,10.1109/tcyb.2025.3527632,https://doi.org/10.1109/tcyb.2025.3527632,journal-article,
318,5,2025,,robot foundation model,Integrating Multimodal Communication and Comprehension Evaluation during Human-Robot Collaboration for Increased Reliability of Foundation Model-based Task Planning Systems,2025 IEEE/SICE International Symposium on System Integration (SII),10.1109/sii59315.2025.10871045,https://doi.org/10.1109/sii59315.2025.10871045,proceedings-article,
319,5,2025,,multimodal robot learning,Integrating Multimodal Emotion Recognition with Deep Q-Learning for Adaptive Social Robot Interaction,International Journal of Robotics and Control Systems,10.31763/ijrcs.v5i4.2055,https://doi.org/10.31763/ijrcs.v5i4.2055,journal-article,"<jats:p>This paper aims to enhance social interaction with robots by utilizing artificial emotional intelligence and multimodal communication systems. For this, a framework consisting of audio, video, and text channels is described as a means of expressing emotions within a common framework of emotional intelligence. Adaptive behavior is facilitated by reinforcement learning, enabling robotic behavior to be adjusted according to the level of user experience and the likelihood of task accomplishm"
320,5,2025,,embodied intelligence scaling,Intelligent soft matter: towards embodied intelligence,Soft Matter,10.1039/d5sm00174a,https://doi.org/10.1039/d5sm00174a,journal-article,<jats:p>Intelligent soft matter is an emergent field.</jats:p>
321,5,2025,,robot world model,IRASim: A Fine-Grained World Model for Robot Manipulation,2025 IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/iccv51701.2025.00917,https://doi.org/10.1109/iccv51701.2025.00917,proceedings-article,
322,5,2025,,sim-to-real robotics,Isaac Sim-to-Real: Reinforcement Learning based Locomotion for Quadrupeds,2025 IEEE 21st International Conference on Automation Science and Engineering (CASE),10.1109/case58245.2025.11163761,https://doi.org/10.1109/case58245.2025.11163761,proceedings-article,
323,5,2025,,contact-rich manipulation,Learning contact-rich whole-body manipulation with example-guided reinforcement learning,Science Robotics,10.1126/scirobotics.ads6790,https://doi.org/10.1126/scirobotics.ads6790,journal-article,"<jats:p>Humans use diverse skills and strategies to effectively manipulate various objects, ranging from dexterous in-hand manipulation (fine motor skills) to complex whole-body manipulation (gross motor skills). The latter involves full-body engagement and extensive contact with various body parts beyond just the hands, where the compliance of our skin and muscles plays a crucial role in increasing contact stability and mitigating uncertainty. For robots, synthesizing these contact-rich behavio"
324,5,2025,,robot control learning,Learning Dexterous Robot Hand Control by Imitating Human Hands,2025 22nd International Conference on Ubiquitous Robots (UR),10.1109/ur65550.2025.11078061,https://doi.org/10.1109/ur65550.2025.11078061,proceedings-article,
325,5,2025,,embodiment generalization robotics,Learning for embodiment and embodiment for learning,Nature Reviews Electrical Engineering,10.1038/s44287-025-00203-4,https://doi.org/10.1038/s44287-025-00203-4,journal-article,
326,5,2025,,multimodal robot learning,Learning Multimodal Latent Dynamics for Human–Robot Interaction,IEEE Transactions on Robotics,10.1109/tro.2025.3582829,https://doi.org/10.1109/tro.2025.3582829,journal-article,
327,5,2025,,contact-rich manipulation,Learning Variable Impedance Control for Contact-rich Robotics Manipulation with Guaranteed Passivity,IFAC-PapersOnLine,10.1016/j.ifacol.2025.10.191,https://doi.org/10.1016/j.ifacol.2025.10.191,journal-article,
328,5,2025,,contact-rich manipulation,LEMMo-Plan: LLM-Enhanced Learning from Multi-Modal Demonstration for Planning Sequential Contact-Rich Manipulation Tasks,2025 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra55743.2025.11127842,https://doi.org/10.1109/icra55743.2025.11127842,proceedings-article,
329,5,2025,,embodied intelligence scaling,LGRobo: Local Action and Global Planning Embodied Artificial Intelligence,"2025 International Ubiquitous Positioning, Indoor Navigation and Location-Based Services Conference (UPINLBS)",10.1109/upinlbs68186.2025.11468427,https://doi.org/10.1109/upinlbs68186.2025.11468427,proceedings-article,
330,5,2025,,embodied intelligence scaling,Machine Survival: A Historical Perspective on Embodied Autonomous Intelligence,,10.36227/techrxiv.175745163.30050604/v1,https://doi.org/10.36227/techrxiv.175745163.30050604/v1,posted-content,
331,5,2025,,contact-rich manipulation,MagicGripper: A Mini-MagicTac Integrated Gripper Enabling Multimodal Perception in Contact-Rich Manipulation,IEEE Transactions on Automation Science and Engineering,10.1109/tase.2025.3631485,https://doi.org/10.1109/tase.2025.3631485,journal-article,
332,5,2025,,robot planning learning,Multi-Agent Reinforcement Learning for Multi- Robot Intelligent Fixture Planning,International Journal of Innovative Science and Research Technology,10.38124/ijisrt/25apr1710,https://doi.org/10.38124/ijisrt/25apr1710,journal-article,"<jats:p>Fixture layout planning is critical for securely holding components during production processes. An optimal
fixture arrangement minimizes surface deformation and prevents crack propagation, thereby maintaining the structural
integrity of components. Traditionally handled by engineers, fixture planning has grown too complex for manual methods
alone. Conventional optimization often gets stuck in local optima, limiting effectiveness. While machine learning offers
improvements, it demands co"
333,5,2025,,robot reinforcement learning,Multi-constraint reinforcement learning in complex robot environments,Frontiers of Computer Science,10.1007/s11704-024-40682-6,https://doi.org/10.1007/s11704-024-40682-6,journal-article,
334,5,2025,,robot planning learning,Multi-robot Path Planning Based on IPPO Reinforcement Learning and Imitation Learning,Lecture Notes in Computer Science Intelligent Robotics and Applications,10.1007/978-981-95-2098-5_34,https://doi.org/10.1007/978-981-95-2098-5_34,book-chapter,
335,5,2025,,multimodal robot learning,Multimodal demonstration knowledge guided robot skill hierarchical reinforcement learning for 3C assembly,Industrial Robot: the international journal of robotics research and application,10.1108/ir-03-2025-0105,https://doi.org/10.1108/ir-03-2025-0105,journal-article,"<jats:sec>
                    <jats:title>Purpose</jats:title>
                    <jats:p>This paper aims to address the low-efficiency issues encountered by reinforcement learning (RL) methods in standard automated assembly scenarios for 3C assembly lines, where robots struggle with vast exploration spaces to execute long-horizon sequences of actions.</jats:p>
                  </jats:sec>
                  <jats:sec>
                    <jats:title>Design/methodology/approach</jats:title>
  "
336,5,2025,,multimodal robot learning,Multimodal Feature Fusion for Deep Reinforcement Learning-Based Mobile Robot Navigation,2025 International Conference on Artificial Intelligence in Information and Communication (ICAIIC),10.1109/icaiic64266.2025.10920797,https://doi.org/10.1109/icaiic64266.2025.10920797,proceedings-article,
337,5,2025,,sim-to-real robotics,Navigating the Sim-to-Real Gap: A Critical Analysis of Underwater Robotics Simulators,2025 IEEE International Conference on Advanced Robotics (ICAR),10.1109/icar65334.2025.11338622,https://doi.org/10.1109/icar65334.2025.11338622,proceedings-article,
338,5,2025,,robot reinforcement learning,On-Robot Reinforcement Learning with Goal-Contrastive Rewards,2025 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra55743.2025.11128466,https://doi.org/10.1109/icra55743.2025.11128466,proceedings-article,
339,5,2025,,contact-rich manipulation,One-Shot Manipulation Strategy Learning by Making Contact Analogies,2025 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra55743.2025.11127356,https://doi.org/10.1109/icra55743.2025.11127356,proceedings-article,
340,5,2025,,embodied intelligence scaling,Optimizing and Attacking Embodied Intelligence: Instruction Decomposition and Adversarial Robustness,2025 IEEE International Conference on Multimedia and Expo (ICME),10.1109/icme59968.2025.11209370,https://doi.org/10.1109/icme59968.2025.11209370,proceedings-article,
341,5,2025,,vision language action robotics,PD-VLA: Accelerating Vision-Language-Action Model Integrated with Action Chunking via Parallel Decoding,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros60139.2025.11247519,https://doi.org/10.1109/iros60139.2025.11247519,proceedings-article,
342,5,2025,,robot foundation model,PDZSeg: adapting the foundation model for dissection zone segmentation with visual prompts in robot-assisted endoscopic submucosal dissection,International Journal of Computer Assisted Radiology and Surgery,10.1007/s11548-025-03437-7,https://doi.org/10.1007/s11548-025-03437-7,journal-article,"<jats:title>Abstract</jats:title>
                  <jats:sec>
                    <jats:title>
                      <jats:bold>Purpose:</jats:bold>
                    </jats:title>
                    <jats:p>The intricate nature of endoscopic surgical environments poses significant challenges for the task of dissection zone segmentation. Specifically, the boundaries between different tissue types lack clarity, which can result in significant segmentation errors, as the models may misidentify"
343,5,2025,,contact-rich manipulation,Physics-Driven Data Generation for Contact-Rich Manipulation via Trajectory Optimization,Robotics: Science and Systems XXI,10.15607/rss.2025.xxi.053,https://doi.org/10.15607/rss.2025.xxi.053,proceedings-article,
344,5,2025,,vision language action robotics,PiVLA: Vision-Language-Action Based on Parallel Intelligence,The International Journal of Intelligent Control and Systems,10.62678/ijics202509.10242,https://doi.org/10.62678/ijics202509.10242,journal-article,
345,5,2025,,contact-rich manipulation,PolyTouch: A Robust Multi-Modal Tactile Sensor for Contact-Rich Manipulation Using Tactile-Diffusion Policies,2025 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra55743.2025.11128816,https://doi.org/10.1109/icra55743.2025.11128816,proceedings-article,
346,5,2025,,contact-rich manipulation,Quasi-static contact-rich manipulation using dynamic movement primitives and haptic potential map,Data-Centric Engineering,10.1017/dce.2025.10021,https://doi.org/10.1017/dce.2025.10021,journal-article,"<jats:title>Abstract</jats:title>
	  <jats:p>Robots need a sense of touch to handle objects effectively, and force sensors provide a straightforward way to measure touch or physical contact. However, contact force data are typically sparse and difficult to analyze, as it only appears during contact and is often affected by noise. Therefore, many researchers have consequently relied on vision-based methods for robotic manipulation. However, vision has limitations, such as occlusions that block th"
347,5,2025,,contact-rich manipulation,Reactive Diffusion Policy: Slow-Fast Visual-Tactile Policy Learning for Contact-Rich Manipulation,Robotics: Science and Systems XXI,10.15607/rss.2025.xxi.052,https://doi.org/10.15607/rss.2025.xxi.052,proceedings-article,
348,5,2025,,robot reinforcement learning,Reinforcement Learning Based 3-D Surface Calligraphy Robot,"2025 11th International Conference on Control, Automation and Robotics (ICCAR)",10.1109/iccar64901.2025.11073055,https://doi.org/10.1109/iccar64901.2025.11073055,proceedings-article,
349,5,2025,,robot control learning,Reinforcement Learning Control of Jellyfish-Inspired Robot,2025 IEEE/ASME International Conference on Advanced Intelligent Mechatronics (AIM),10.1109/aim64088.2025.11175827,https://doi.org/10.1109/aim64088.2025.11175827,proceedings-article,
350,5,2025,,robot planning learning,Reinforcement Learning Enhanced Archimedes Optimization Algorithm for Robot Path Planning,"2025 IEEE 8th International Conference on Electrical, Control and Computer Engineering (InECCE)",10.1109/inecce64959.2025.11150944,https://doi.org/10.1109/inecce64959.2025.11150944,proceedings-article,
351,5,2025,,robot reinforcement learning,Reinforcement Learning for Robot Assisted Live Ultrasound Examination,,10.20944/preprints202508.1647.v1,https://doi.org/10.20944/preprints202508.1647.v1,posted-content,"<jats:p>Due to its portability, non-invasiveness, and real-time capabilities, ultrasound imaging has been widely adopted for liver disease detection. However, conventional ultrasound examinations heavily rely on operator expertise, leading to high workload and inconsistent imaging quality. To address these challenges, we propose a Robotic Ultrasound Scanning System (RUSS) based on reinforcement learning to automate the localization of standard liver planes. And it can help reduce physician burde"
352,5,2025,,robot reinforcement learning,Reinforcement Learning for Robot Assisted Live Ultrasound Examination,Electronics,10.3390/electronics14183709,https://doi.org/10.3390/electronics14183709,journal-article,"<jats:p>Due to its portability, non-invasiveness, and real-time capabilities, ultrasound imaging has been widely adopted for liver disease detection. However, conventional ultrasound examinations heavily rely on operator expertise, leading to high workload and inconsistent imaging quality. To address these challenges, we propose a Robotic Ultrasound Scanning System (RUSS) based on reinforcement learning to automate the localization of standard liver planes. It can help reduce physician burden wh"
353,5,2025,,robot reinforcement learning,Reinforcement Learning for Robot Fracture Reduction Surgery,HSMR 2025,10.31256/hsmr25.62,https://doi.org/10.31256/hsmr25.62,proceedings-article,
354,5,2025,,robot grasping learning,Reinforcement Learning of Mobile Robot Grasping Based on Dynamic Movement Primitives,"2025 5th International Conference on Artificial Intelligence, Robotics, and Communication (ICAIRC)",10.1109/icairc68035.2025.11385193,https://doi.org/10.1109/icairc68035.2025.11385193,proceedings-article,
355,5,2025,,robot control learning,Reinforcement Learning-Based Attitude Stabilization Control for Robot Astronauts,IFAC-PapersOnLine,10.1016/j.ifacol.2025.11.500,https://doi.org/10.1016/j.ifacol.2025.11.500,journal-article,
356,5,2025,,robot planning learning,Reinforcement learning-driven deep learning approaches for optimized robot trajectory planning,Scientific Reports,10.1038/s41598-025-21664-5,https://doi.org/10.1038/s41598-025-21664-5,journal-article,
357,5,2025,,embodiment generalization robotics,"Remote robotics, or the digital re-embodiment of labour","Work Organisation, Labour &amp; Globalisation",10.13169/workorgalaboglob.19.2.0010,https://doi.org/10.13169/workorgalaboglob.19.2.0010,journal-article,"<jats:p>The remote operation of robots in logistics is becoming increasingly prevalent, with robots being deployed across a variety of sectors and operated by workers from a distance. This allows manual labour to be conducted remotely. Despite eliminating the need for physical proximity between the robot and the operator, remote robotics still necessitates human interaction to control the machinery, a process we call re-embodiment. This working arrangement introduces constraints on the communiti"
358,5,2025,,robot foundation model,Research on Robotics Diffusion Transformer in Robot Foundation Models Based on Diffusion Model,"Proceedings of the 2025 4th International Conference on Intelligent Systems, Communications and Computer Networks",10.1145/3732945.3733004,https://doi.org/10.1145/3732945.3733004,proceedings-article,
359,5,2025,,embodied intelligence scaling,Research on the Development of Embodied Intelligence Technology,"2025 IEEE International Conference on Pattern Recognition, Machine Vision and Artificial Intelligence (PRMVAI)",10.1109/prmvai65741.2025.11108525,https://doi.org/10.1109/prmvai65741.2025.11108525,proceedings-article,
360,5,2025,,robotics scaling law,Rethink Agile Scaling with Robotics Subsumption Architecture,Lecture Notes in Business Information Processing Agile Processes in Software Engineering and Extreme Programming – Workshops,10.1007/978-3-032-05799-0_12,https://doi.org/10.1007/978-3-032-05799-0_12,book-chapter,"<jats:title>Abstract</jats:title>
                  <jats:p>
                    Agile fosters speed, autonomy, and innovation at the team level, but organizations often struggle to preserve these strengths as they scale. Coordination overhead increases, decision-making slows, and the agility that once fueled success begins to erode. This paper introduces an approach to scaling by drawing on
                    <jats:bold>Robotics Subsumption Architecture</jats:bold>
                    , a mode"
361,5,2025,,imitation learning robotics,"RIDL: A Comprehensive Hybrid Pipeline Integrating Diffusion, Imitation, and Deep Reinforcement Learning via VR-Enhanced Data for Surgical Robotics","Smart Innovation, Systems and Technologies Recent Trends of AI Technologies and Virtual Reality",10.1007/978-981-96-1154-6_11,https://doi.org/10.1007/978-981-96-1154-6_11,book-chapter,
362,5,2025,,multimodal robot learning,RoboCache: A Distributed Key–Value Store for Petabyte–Scale Multimodal Robot Learning Datasets,2025 International Conference on Computer and Applications (ICCA),10.1109/icca66035.2025.11430805,https://doi.org/10.1109/icca66035.2025.11430805,proceedings-article,
363,5,2025,,robot manipulation scaling,RoboCrowd: Scaling Robot Data Collection Through Crowdsourcing,2025 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra55743.2025.11127402,https://doi.org/10.1109/icra55743.2025.11127402,proceedings-article,
364,5,2025,,robot planning learning,Robot autonomous navigation path planning based on deep reinforcement learning,Procedia Computer Science,10.1016/j.procs.2025.05.151,https://doi.org/10.1016/j.procs.2025.05.151,journal-article,
365,5,2025,,robot foundation model,Robot learning in the era of foundation models: a survey,Neurocomputing,10.1016/j.neucom.2025.129963,https://doi.org/10.1016/j.neucom.2025.129963,journal-article,
366,5,2025,,robot manipulation scaling,Robot Learning with Super-Linear Scaling,Robotics: Science and Systems XXI,10.15607/rss.2025.xxi.025,https://doi.org/10.15607/rss.2025.xxi.025,proceedings-article,
367,5,2025,,robot planning learning,Robot movement planning for obstacle avoidance using reinforcement learning,Scientific Reports,10.1038/s41598-025-17740-5,https://doi.org/10.1038/s41598-025-17740-5,journal-article,"<jats:title>Abstract</jats:title>
          <jats:p>In modern industrial and laboratory environments, robotic arms often operate in complex, cluttered spaces. Ensuring reliable obstacle avoidance and efficient motion planning is therefore essential for safe performance. Motivated by the shortcomings of traditional path planning methods and the growing demand for intelligent automation, we propose a novel reinforcement learning framework that combines a modified artificial potential field (APF) m"
368,5,2025,,sim-to-real robotics,Robotic Calibration Based on Haptic Feedback Improves Sim-to-Real Transfer,Lecture Notes in Computer Science Artificial Neural Networks and Machine Learning. ICANN 2025 International Workshops and Special Sessions,10.1007/978-3-032-04552-2_14,https://doi.org/10.1007/978-3-032-04552-2_14,book-chapter,
369,5,2025,,contact-rich manipulation,Robust Peg-in-Hole Assembly under Uncertainties via Compliant and Interactive Contact-Rich Manipulation,Robotics: Science and Systems XXI,10.15607/rss.2025.xxi.060,https://doi.org/10.15607/rss.2025.xxi.060,proceedings-article,
370,5,2025,,robot control learning,Safe Reinforcement Learning for Human-Robot Shared Control,,10.36227/techrxiv.176231756.64573080/v1,https://doi.org/10.36227/techrxiv.176231756.64573080/v1,posted-content,
371,5,2025,,robotics scaling law,Scaling Industrial Robotics Education: A Serious Game Approach for Resource-Limited Regions,Lecture Notes in Networks and Systems Advancing Learning Factories: Enabling Future-Ready Skills,10.1007/978-3-031-98880-6_3,https://doi.org/10.1007/978-3-031-98880-6_3,book-chapter,
372,5,2025,,robotics scaling law,"Scaling Robotics Education: A Systematic Review of Technologies, Frameworks, and Equity Dimensions",International Journal of Computer Applications Technology and Research,10.7753/ijcatr1406.1014,https://doi.org/10.7753/ijcatr1406.1014,journal-article,
373,5,2025,,contact-rich manipulation,Should We Learn Contact-Rich Manipulation Policies From Sampling-Based Planners?,IEEE Robotics and Automation Letters,10.1109/lra.2025.3564701,https://doi.org/10.1109/lra.2025.3564701,journal-article,
374,5,2025,,sim-to-real robotics,Sim-to-Real Neural Perception for Terrain Classification in Search and Rescue Robotics,2025 IEEE International Symposium on Safety Security Rescue Robotics (SSRR),10.1109/ssrr68451.2025.11391277,https://doi.org/10.1109/ssrr68451.2025.11391277,proceedings-article,
375,5,2025,,sim-to-real robotics,Sim-to-Real Transfer for Estimation over Wireless Networks,ACM Transactions on Cyber-Physical Systems,10.1145/3736419,https://doi.org/10.1145/3736419,journal-article,"<jats:p>Data-driven models for state estimation using measurements obtained over a wireless network are essential to cyber-physical systems. Learning a data-driven model for an estimator using real wireless network deployments is, however, impractical as it would require data that captures varied wireless network conditions and their impact on estimation. We propose and evaluate a simulation to real-world transfer of a data-driven model for state estimation. Specifically, we train an estimator m"
376,5,2025,,contact-rich manipulation,Simultaneous Trajectory Optimization and Contact Selection for Contact-Rich Manipulation With High-Fidelity Geometry,IEEE Transactions on Robotics,10.1109/tro.2025.3554380,https://doi.org/10.1109/tro.2025.3554380,journal-article,
377,5,2025,,contact-rich manipulation,Soft and Compliant Contact-Rich Hair Manipulation and Care,2025 20th ACM/IEEE International Conference on Human-Robot Interaction (HRI),10.1109/hri61500.2025.10973945,https://doi.org/10.1109/hri61500.2025.10973945,proceedings-article,
378,5,2025,,embodied intelligence scaling,Softness: An Ecological Paradigm for Embodied Technological Intelligence,Social Epistemology,10.1080/02691728.2025.2449607,https://doi.org/10.1080/02691728.2025.2449607,journal-article,
379,5,2025,,embodied intelligence scaling,Special topic: embodied intelligence,SCIENTIA SINICA Informationis,10.1360/ssi-2025-0177,https://doi.org/10.1360/ssi-2025-0177,journal-article,
380,5,2025,,imitation learning robotics,Subconscious Robotic Imitation Learning,Frontiers in Artificial Intelligence and Applications ECAI 2025,10.3233/faia251231,https://doi.org/10.3233/faia251231,book-chapter,"<jats:p>While imitation learning (IL) emerges as a promising paradigm for embodied intelligent robots, its practical application is constrained by slow execution speeds, caused by the computational intensity of precise multi-model trajectory prediction, especially in complex dynamic environments. In contrast, humans can efficiently perform long-duration tasks through subconscious-driven habitual actions, such as riding bikes, without focusing on execution details. Motivated by this insight, we p"
381,5,2025,,robot world model,Surfer: A World Model-Based Framework for Vision-Language Robot Manipulation,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2025.3594117,https://doi.org/10.1109/tnnls.2025.3594117,journal-article,
382,5,2025,,robot tactile perception,Tactile perception and object grasping of a dexterous hand in a humanoid robot,Proceedings of the 2025 5th International Conference on Robotics and Control Engineering,10.1145/3733774.3735332,https://doi.org/10.1145/3733774.3735332,proceedings-article,
383,5,2025,,robot foundation model,"The Analysis of Setting In Isaac Asimov’s “I, Robot” and “Foundation”",Pubmedia Social Sciences and Humanities,10.47134/pssh.v2i3.359,https://doi.org/10.47134/pssh.v2i3.359,journal-article,"<jats:p>This article examines the setting features in two key works by Isaac Asimov “I, Robot” and “Foundation”. It explores how the setting influences character development and the development of central themes in the works, such as moral dilemmas, the ethics of artificial intelligence, problems of civilization survival, and the role of knowledge. In “I, Robot” the focus is on the relationship of humans and robots within an already existing society, while in Foundation the large-scale galactic "
384,5,2025,,embodied intelligence scaling,The multifaceted approach to embodied intelligence in robotics,Science Robotics,10.1126/scirobotics.adx2731,https://doi.org/10.1126/scirobotics.adx2731,journal-article,"<jats:p>The physical body and its interaction with the environment shape robot behavior, simplify control, and minimize computation.</jats:p>"
385,5,2025,,robot grasping learning,The Performance of Startegic Gradient Models of Reinforcement Learning for Robot Grasping,"2025 IEEE 3rd International Conference on Control, Electronics and Computer Technology (ICCECT)",10.1109/iccect64621.2025.11339843,https://doi.org/10.1109/iccect64621.2025.11339843,proceedings-article,
386,5,2025,,robot foundation model,The PhilEO Geospatial Foundation Model Suite,,10.5194/egusphere-egu24-17934,https://doi.org/10.5194/egusphere-egu24-17934,posted-content,"<jats:p>Foundation Models (FMs) are the latest big advancement in AI that build upon Deep Learning. They have the ability to analyse large volumes of unlabeled Earth Observation (EO) data by learning at scale, identifying complex patterns and trends that may be difficult or even impossible to detect through traditional methods. These models can then be used as a base to create powerful applications that automatically identify, classify, and analyse features in EO data, unlocking the full potenti"
387,5,2025,,embodied intelligence scaling,The Wellsprings of Embodied Wisdom Tracing Non-Cerebral Intelligence from Biblical Anthropology to Contemporary Embodied Theology,Journal of Religion and Theology,10.22259/2637-5907.0704010,https://doi.org/10.22259/2637-5907.0704010,journal-article,
388,5,2025,,robot tactile perception,Thermochromic Visual-Tactile Sensor: Integrating Temperature and Tactile Perception,Lecture Notes in Networks and Systems AI Enabled Robotic Loco-Manipulation,10.1007/978-3-032-09427-8_10,https://doi.org/10.1007/978-3-032-09427-8_10,book-chapter,
389,5,2025,,embodied intelligence scaling,Towards Embodied Intelligence in Humanoid Robots,Proceedings of the MATSUS Spring 2026 Conference,10.29363/nanoge.matsusspring.2026.383,https://doi.org/10.29363/nanoge.matsusspring.2026.383,proceedings-article,
390,5,2025,,vision language action robotics,TransCLIP: Transferring Vision–Language Models for Efficient Video Action Recognition,IEEE Transactions on Industrial Informatics,10.1109/tii.2025.3577686,https://doi.org/10.1109/tii.2025.3577686,journal-article,
391,5,2025,,robot foundation model,Transferable and Forecastable User Targeting Foundation Model,Companion Proceedings of the ACM on Web Conference 2025,10.1145/3701716.3715266,https://doi.org/10.1145/3701716.3715266,proceedings-article,
392,5,2025,,sim-to-real robotics,Unified Locomotion Transformer with Simultaneous Sim-to-Real Transfer for Quadrupeds,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros60139.2025.11246319,https://doi.org/10.1109/iros60139.2025.11246319,proceedings-article,
393,5,2025,,contact-rich manipulation,Variable impedance control on contact-rich manipulation of a collaborative industrial mobile manipulator: An imitation learning approach,Robotics and Computer-Integrated Manufacturing,10.1016/j.rcim.2024.102896,https://doi.org/10.1016/j.rcim.2024.102896,journal-article,
394,5,2025,,robot foundation model,Verifiably Following Complex Robot Instructions with Foundation Models,2025 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra55743.2025.11127418,https://doi.org/10.1109/icra55743.2025.11127418,proceedings-article,
395,5,2025,,robot foundation model,Verification of a Two-Step Inference Model for Cooperative Evaluation of Robot Actions Using Foundation Models,Springer Proceedings in Advanced Robotics Distributed Autonomous Robotic Systems,10.1007/978-3-032-04584-3_27,https://doi.org/10.1007/978-3-032-04584-3_27,book-chapter,
396,5,2025,,contact-rich manipulation,VibeCheck: Using Active Acoustic Tactile Sensing for Contact-Rich Manipulation,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros60139.2025.11246133,https://doi.org/10.1109/iros60139.2025.11246133,proceedings-article,
397,5,2025,,robot tactile perception,"Vision-Based Proximity and Tactile Sensing for Robot Arms: Design, Perception, and Control",IEEE Transactions on Robotics,10.1109/tro.2025.3593087,https://doi.org/10.1109/tro.2025.3593087,journal-article,
398,5,2025,,sim-to-real robotics,VR-Robo: A Real-to-Sim-to-Real Framework for Visual Robot Navigation and Locomotion,IEEE Robotics and Automation Letters,10.1109/lra.2025.3575648,https://doi.org/10.1109/lra.2025.3575648,journal-article,
399,5,2025,,robot world model,World Model Learning for Highly Autonomous Proactive Planetary Robot Teams,Springer Aerospace Technology Selected Proceedings of the 7th Space Resources Conference,10.1007/978-3-031-91227-6_35,https://doi.org/10.1007/978-3-031-91227-6_35,book-chapter,
400,5,2025,,sim-to-real robotics,Zero-Shot Sim-to-Real Reinforcement Learning for Fruit Harvesting,2025 IEEE 21st International Conference on Automation Science and Engineering (CASE),10.1109/case58245.2025.11164009,https://doi.org/10.1109/case58245.2025.11164009,proceedings-article,
401,4,2024,,robot planning learning,3D Path Planning Digital Twins for Robot Arms Incorporating Reinforcement Learning,"2024 3rd International Conference on Robotics, Artificial Intelligence and Intelligent Control (RAIIC)",10.1109/raiic61787.2024.10671187,https://doi.org/10.1109/raiic61787.2024.10671187,proceedings-article,
402,4,2024,,robot tactile perception,A Compact Visuo-Tactile Robotic Skin for Micron-Level Tactile Perception,IEEE Sensors Journal,10.1109/jsen.2024.3376574,https://doi.org/10.1109/jsen.2024.3376574,journal-article,
403,4,2024,,robot tactile perception,A comprehensive review of robot intelligent grasping based on tactile perception,Robotics and Computer-Integrated Manufacturing,10.1016/j.rcim.2024.102792,https://doi.org/10.1016/j.rcim.2024.102792,journal-article,
